abakować,abakuję,abakujesz,abakuje,abakujemy,abakujecie,abakują
dziwić się,dziwię się,dziwisz się,dziwi się,dziwimy się,dziwicie się,dziwią się
dźwigać,dźwigam,dźwigasz,dźwiga,dźwigamy,dźwigacie,dźwigają
dźwigać się,dźwigam się,dźwigasz się,dźwiga się,dźwigamy się,dźwigacie się,dźwigają się
dźwignąć,dźwignę,dźwigniesz,dźwignie,dźwigniemy,dźwigniecie,dźwigną
dźwignąć się,dźwignę się,dźwigniesz się,dźwignie się,dźwigniemy się,dźwigniecie się,dźwigną się
dzwonić,dzwonię,dzwonisz,dzwoni,dzwonimy,dzwonicie,dzwonią
dławić,dławię,dławisz,dławi,dławimy,dławicie,dławią
dławić się,dławię się,dławisz się,dławi się,dławimy się,dławicie się,dławią się
dłubać,dłubię,dłubiesz,dłubie,dłubiemy,dłubiecie,dłubią
dłużyć,dłużę,dłużysz,dłuży,dłużymy,dłużycie,dłużą
e-mailować,e-mailuję,e-mailujesz,e-mailuje,e-mailujemy,e-mailujecie,e-mailują
edytować,edytuję,edytujesz,edytuje,edytujemy,edytujecie,edytują
efektować,efektuję,efektujesz,efektuje,efektujemy,efektujecie,efektują
egzaminować,egzaminuję,egzaminujesz,egzaminuje,egzaminujemy,egzaminujecie,egzaminują
egzekwować,egzekwuję,egzekwujesz,egzekwuje,egzekwujemy,egzekwujecie,egzekwują
egzercytować,egzercytuję,egzercytujesz,egzercytuje,egzercytujemy,egzercytujecie,egzercytują
egzorcyzmować,egzorcyzmuję,egzorcyzmujesz,egzorcyzmuje,egzorcyzmujemy,egzorcyzmujecie,egzorcyzmują
egzystować,egzystuję,egzystujesz,egzystuje,egzystujemy,egzystujecie,egzystują
ekscerpować,ekscerpuję,ekscerpujesz,ekscerpuje,ekscerpujemy,ekscerpujecie,ekscerpują
ekskomunikować,ekskomunikuję,ekskomunikujesz,ekskomunikuje,ekskomunikujemy,ekskomunikujecie,ekskomunikują
eksplikować,eksplikuję,eksplikujesz,eksplikuje,eksplikujemy,eksplikujecie,eksplikują
eksploatować,eksploatuję,eksploatujesz,eksploatuje,eksploatujemy,eksploatujecie,eksploatują
eksplodować,eksploduję,eksplodujesz,eksploduje,eksplodujemy,eksplodujecie,eksplodują
eksportować,eksportuję,eksportujesz,eksportuje,eksportujemy,eksportujecie,eksportują
elektryzować,elektryzuję,elektryzujesz,elektryzuje,elektryzujemy,elektryzujecie,elektryzują
eliminować,eliminuję,eliminujesz,eliminuje,eliminujemy,eliminujecie,eliminują
emablować,emabluję,emablujesz,emabluje,emablujemy,emablujecie,emablują
emancypować,emancypuję,emancypujesz,emancypuje,emancypujemy,emancypujecie,emancypują
emigrować,emigruję,emigrujesz,emigruje,emigrujemy,emigrujecie,emigrują
emitować,emituję,emitujesz,emituje,emitujemy,emitujecie,emitują
emocjonować,emocjonuję,emocjonujesz,emocjonuje,emocjonujemy,emocjonujecie,emocjonują
epatować,epatuję,epatujesz,epatuje,epatujemy,epatujecie,epatują
erygować,eryguję,erygujesz,eryguje,erygujemy,erygujecie,erygują
eskortować,eskortuję,eskortujesz,eskortuje,eskortujemy,eskortujecie,eskortują
euroizować,euroizuję,euroizujeszsz,euroizujesz,euroizujeszmy,euroizujeszcie,euroizują
europeizować,europeizuję,europeizujesz,europeizuje,europeizujemy,europeizujecie,europeizują
europeizować się,europeizuję się,europeizujesz się,europeizuje się,europeizujemy się,europeizujecie się,europeizują się
ewakuować,ewakuuję,ewakuujesz,ewakuuje,ewakuujemy,ewakuujecie,ewakuują
ewakuować się,ewakuuję się,ewakuujesz się,ewakuuje się,ewakuujemy się,ewakuujecie się,ewakuują się
ewangelizować,ewangelizuję,ewangelizujesz,ewangelizuje,ewangelizujemy,ewangelizujecie,ewangelizują
ewidencjonować,ewidencjonuję,ewidencjonujesz,ewidencjonuje,ewidencjonujemy,ewidencjonujecie,ewidencjonują
ewinkować,ewinkuję,ewinkujesz,ewinkuje,ewinkujemy,ewinkujecie,ewinkują
ewokować,ewokuję,ewokujesz,ewokuje,ewokujemy,ewokujecie,ewokują
faksować,faksuję,faksujesz,faksuje,faksujemy,faksujecie,faksują
falcować,falcuję,falcujesz,falcuje,falcujemy,falcujecie,falcują
falować,faluję,falujesz,faluje,falujemy,falujecie,falują
fandzolić,fandzolę,fandzolisz,fandzoli,fandzolimy,fandzolicie,fandzolą
fanzolić,fanzolę,fanzolisz,fanzoli,fanzolimy,fanzolicie,fanzolą
farbować,farbuję,farbujesz,farbuje,farbujemy,farbujecie,farbują
farbować się,farbuję się,farbujesz się,farbuje się,farbujemy się,farbujecie się,farbują się
fascynować,fascynuję,fascynujesz,fascynuje,fascynujemy,fascynujecie,fascynują
fasetować,fasetuję,fasetujesz,fasetuje,fasetujemy,fasetujecie,fasetują
faworyzować,faworyzuję,faworyzujesz,faworyzuje,faworyzujemy,faworyzujecie,faworyzują
fałszować,fałszuję,fałszujesz,fałszuje,fałszujemy,fałszujecie,fałszują
fedrować,fedruję,fedrujesz,fedruje,fedrujemy,fedrujecie,fedrują
feksyrować,feksyruję,feksyrujesz,feksyruje,feksyrujemy,feksyrujecie,feksyrują
fermentować,fermentuję,fermentujesz,fermentuje,fermentujemy,fermentujecie,fermentują
fetować,fetuję,fetujesz,fetuje,fetujemy,fetujecie,fetują
filetować,filetuję,filetujesz,filetuje,filetujemy,filetujecie,filetują
filmować,filmuję,filmujesz,filmuje,filmujemy,filmujecie,filmują
filować,filuję,filujesz,filuje,filujemy,filujecie,filują
finalizować,finalizuję,finalizujesz,finalizuje,finalizujemy,finalizujecie,finalizują
finansować,finansuję,finansujesz,finansuje,finansujemy,finansujecie,finansują
finiszować,finiszuję,finiszujesz,finiszuje,finiszujemy,finiszujecie,finiszują
firmować,firmuję,firmujesz,firmuje,firmujemy,firmujecie,firmują
flankować,flankuję,flankujesz,flankuje,flankujemy,flankujecie,flankują
flirtować,flirtuję,flirtujesz,flirtuje,flirtujemy,flirtujecie,flirtują
folgować,folguję,folgujesz,folguje,folgujemy,folgujecie,folgują
formatować,formatuję,formatujesz,formatuje,formatujemy,formatujecie,formatują
formować,formuję,formujesz,formuje,formujemy,formujecie,formują
formować się,formuję się,formujesz się,formuje się,formujemy się,formujecie się,formują się
formułować,formułuję,formułujesz,formułuje,formułujemy,formułujecie,formułują
forytować,forytuję,forytujesz,forytuje,forytujemy,forytujecie,forytują
fotografować,fotografuję,fotografujesz,fotografuje,fotografujemy,fotografujecie,fotografują
fragować,fraguję,fragujesz,fraguje,fragujemy,fragujecie,fragują
frezować,frezuję,frezujesz,frezuje,frezujemy,frezujecie,frezują
froterować,froteruję,froterujesz,froteruje,froterujemy,froterujecie,froterują
frymarczyć,frymarczę,frymarczysz,frymarczy,frymarczymy,frymarczycie,frymarczą
fujarkować,fujarkuję,fujarkujesz,fujarkuje,fujarkujemy,fujarkujecie,fujarkują
fundnąć,fundnę,fundniesz,fundnie,fundniemy,fundniecie,fundną
fungować,funguję,fungujesz,funguje,fungujemy,fungujecie,fungują
funkcjonować,funkcjonuję,funkcjonujesz,funkcjonuje,funkcjonujemy,funkcjonujecie,funkcjonują
furażować,furażuję,furażujesz,furażuje,furażujemy,furażujecie,furażują
furmanić,furmanię,furmanisz,furmani,furmanimy,furmanicie,furmanią
futrować,futruję,futrujesz,futruje,futrujemy,futrujecie,futrują
gacić,gacę,gacisz,gaci,gacimy,gacicie,gacą
gadać,gadam,gadasz,gada,gadajmy,gadajcie,gadają
galaretować,galaretuję,galaretujesz,galaretuje,galaretujemy,galaretujecie,galaretują
galaretowacieć,galaretowacieję,galaretowaciejesz,galaretowacieje,galaretowaciejemy,galaretowaciejecie,galaretowacieją
gapić się,gapię się,gapisz się,gapi się,gapimy się,gapicie się,gapią się
gardzić,gardzę,gardzisz,gardzi,gardzimy,gardzicie,gardzą
garnirować,garniruję,garnirujesz,garniruje,garnirujemy,garnirujecie,garnirują
garować,garuję,garujesz,garuje,garujemy,garujecie,garują
gasić,gaszę,gasisz,gasi,gasimy,gasicie,gaszą
gasnąć,gasnę,gaśniesz,gaśnie,gaśniemy,gaśniecie,gasną
gaworzyć,gaworzę,gaworzysz,gaworzy,gaworzymy,gaworzycie,gaworzą
gazować,gazuję,gazujesz,gazuje,gazujemy,gazujecie,gazują
gdakać,gdaczę,gdaczesz,gdacze,gdaczemy,gdaczecie,gdaczą
gęgać,gęgam,gęgasz,gęga,gęgamy,gęgacie,gęgają
gerować,geruję,gerujesz,geruje,gerujemy,gerujecie,gerują
gęstnieć,gęstnieję,gęstniejesz,gęstnieje,gęstniejemy,gęstniejecie,gęstnieją
gestykulować,gestykuluję,gestykulujesz,gestykuluje,gestykulujemy,gestykulujecie,gestykulują
giąć,gnę,gniesz,gnie,gniemy,gniecie,gną
giercować,giercuję,giercujesz,giercuje,giercujemy,giercujecie,giercują
giglać,giglam,giglasz,gigla,giglamy,giglacie,giglają
gilać,gilam,gilasz,gila,gilamy,gilacie,gilają
ginąć,ginę,giniesz,ginie,giniemy,giniecie,giną
gipsować,gipsuję,gipsujesz,gipsuje,gipsujemy,gipsujecie,gipsują
glajchszaltować,glajchszaltuję,glajchszaltujesz,glajchszaltuje,glajchszaltujemy,glajchszaltujecie,glajchszaltują
glancować,glancuję,glancujesz,glancuje,glancujemy,glancujecie,glancują
ględzić,ględzę,ględzisz,ględzi,ględzimy,ględzicie,ględzą
gmatwać,gmatwam,gmatwasz,gmatwa,gmatwamy,gmatwacie,gmatwają
gnać,gnam,gnasz,gna,gnamy,gnacie,gnają
gniazdować,gniazduję,gniazdujesz,gniazduje,gniazdujemy,gniazdujecie,gniazdują
gnieść,gniotę,gnieciesz,gniecie,gnieciemy,gnieciecie,gniotą
gniewać,gniewam,gniewasz,gniewa,gniewamy,gniewacie,gniewają
gniewać się,gniewam się,gniewasz się,gniewa się,gniewamy się,gniewacie się,gniewają się
gnoić,gnoję,gnoisz,gnoi,gnoimy,gnoicie,gnoją
godać,godam,godasz,goda,godamy,godacie,godają
godować,goduję,godujesz,goduje,godujemy,godujecie,godują
godzić,godzę,godzisz,godzi,godzimy,godzicie,godzą
godzić się,godzę się,godzisz się,godzi się,godzimy się,godzicie się,godzą się
golić,golę,golisz,goli,golimy,golicie,golą
gonić,gonię,gonisz,goni,gonimy,gonicie,gonią
googlować,googluję,googlujesz,googluje,googlujemy,googlujecie,googlują
górować,góruję,górujesz,góruje,górujemy,górujecie,górują
gorszyć,gorszę,gorszysz,gorszy,gorszymy,gorszycie,gorszą
gospodarować,gospodaruję,gospodarujesz,gospodaruje,gospodarujemy,gospodarujecie,gospodarują
gotować,gotuję,gotujesz,gotuje,gotujemy,gotujecie,gotują
gotować się,gotuję się,gotujesz się,gotuje się,gotujemy się,gotujecie się,gotują się
grabić,grabię,grabisz,grabi,grabimy,grabicie,grabią
grabieć,grabieję,grabiejesz,grabieje,grabiejemy,grabiejecie,grabieją
grabieżyć,grabieżę,grabieżysz,grabieży,grabieżymy,grabieżycie,grabieżą
grać,gram,grasz,gra,gramy,gracie,grają
gramolić się,gramolę się,gramolisz się,gramoli się,gramolimy się,gramolicie się,gramolą się
graniczyć,graniczę,graniczysz,graniczy,graniczymy,graniczycie,graniczą
grasejować,grasejuję,grasejujesz,grasejuje,grasejujemy,grasejujecie,grasejują
grasować,grasuję,grasujesz,grasuje,grasujemy,grasujecie,grasują
gratulować,gratuluję,gratulujesz,gratuluje,gratulujemy,gratulujecie,gratulują
grillować,grilluję,grillujesz,grilluje,grillujemy,grillujecie,grillują
gromadzić,gromadzę,gromadzisz,gromadzi,gromadzimy,gromadzicie,gromadzą
gromadzić się,gromadzę się,gromadzisz się,gromadzi się,gromadzimy się,gromadzicie się,gromadzą się
grozić,grożę,grozisz,grozi,grozimy,grozicie,grożą
gruchać,grucham,gruchasz,grucha,gruchamy,gruchacie,gruchają
gruntować,gruntuję,gruntujesz,gruntuje,gruntujemy,gruntujecie,gruntują
grupować,grupuję,grupujesz,grupuje,grupujemy,grupujecie,grupują
grygolić,grygolę,grygolisz,grygoli,grygolimy,grygolicie,grygolą
grzebać,grzebię,grzebiesz,grzebie,grzebiemy,grzebiecie,grzebią
grzeszyć,grzeszę,grzeszysz,grzeszy,grzeszymy,grzeszycie,grzeszą
grzmieć,grzmię,grzmisz,grzmi,grzmimy,grzmicie,grzmią
grzmotnąć,grzmotnę,grzmotniesz,grzmotnie,grzmotniemy,grzmotniecie,grzmotną
gubić,gubię,gubisz,gubi,gubimy,gubicie,gubią
gubić się,gubię się,gubisz się,gubi się,gubimy się,gubicie się,gubią się
guglać,guglam,guglasz,gugla,guglamy,guglacie,guglają
guglować,gugluję,guglujesz,gugluje,guglujemy,guglujecie,guglują
gumować,gumuję,gumujesz,gumuje,gumujemy,gumujecie,gumują
gustować,gustuję,gustujesz,gustuje,gustujemy,gustujecie,gustują
gwarantować,gwarantuję,gwarantujesz,gwarantuje,gwarantujemy,gwarantujecie,gwarantują
gwałcić,gwałcę,gwałcisz,gwałci,gwałcimy,gwałcicie,gwałcą
gwiazdorzyć,gwiazdorzę,gwiazdorzysz,gwiazdorzy,gwiazdorzymy,gwiazdorzycie,gwiazdorzą
gwizdać,gwiżdżę,gwiżdżesz,gwiżdże,gwiżdżemy,gwiżdżecie,gwiżdżą
gwizdnąć,gwizdnę,gwizdniesz,gwizdnie,gwizdniemy,gwizdniecie,gwizdną
gwoździować,gwoździuję,gwoździujesz,gwoździuje,gwoździujemy,gwoździujecie,gwoździują
gładzić,gładzę,gładzisz,gładzi,gładzimy,gładzicie,gładzą
głaskać,głaskam,głaskasz,głaska,głaskamy,głaskacie,głaskają
głodnieć,głodnieję,głodniejesz,głodnieje,głodniejemy,głodniejecie,głodnieją
głodować,głoduję,głodujesz,głoduje,głodujemy,głodujecie,głodują
głosić,głoszę,głosisz,głosi,głosimy,głosicie,głoszą
głosować,głosuję,głosujesz,głosuje,głosujemy,głosujecie,głosują
głowić się,głowię się,głowisz się,głowi się,głowimy się,głowicie się,głowią się
haftować,haftuję,haftujesz,haftuje,haftujemy,haftujecie,haftują
hajcować,hajcuję,hajcujesz,hajcuje,hajcujemy,hajcujecie,hajcują
hajtać,hajtam,hajtasz,hajta,hajtamy,hajtacie,hajtają
hajtnąć,hajtnę,hajtniesz,hajtnie,hajtniemy,hajtniecie,hajtną
halsować,halsuję,halsujesz,halsuje,halsujemy,halsujecie,halsują
hamletyzować,hamletyzuję,hamletyzujesz,hamletyzuje,hamletyzujemy,hamletyzujecie,hamletyzują
hamować,hamuję,hamujesz,hamuje,hamujemy,hamujecie,hamują
hamować się,hamuję się,hamujesz się,hamuje się,hamujemy się,hamujecie się,hamują się
hańbić,hańbię,hańbisz,hańbi,hańbimy,hańbicie,hańbią
handlować,handluję,handlujesz,handluje,handlujemy,handlujecie,handlują
handryczyć się,handryczę się,handryczysz się,handryczy się,handryczymy się,handryczycie się,handryczą się
harać,haram,harasz,hara,haramy,haracie,harają
haratać,haratam,haratasz,harata,haratamy,haratacie,haratają
harcować,harcuję,harcujesz,harcuje,harcujemy,harcujecie,harcują
hardkodować,hardkoduję,hardkodujesz,hardkoduje,hardkodujemy,hardkodujecie,hardkodują
harować,haruję,harujesz,haruje,harujemy,harujecie,harują
hasać,hasam,hasasz,hasa,hasamy,hasacie,hasają
hałasować,hałasuję,hałasujesz,hałasuje,hałasujemy,hałasujecie,hałasują
heftować,heftuję,heftujesz,heftuje,heftujemy,heftujecie,heftują
hejcić,hejcę,hejcisz,hejci,hejcimy,hejcicie,hejcą
hejtować,hejtuję,hejtujesz,hejtuje,hejtujemy,hejtujecie,hejtują
heklować,hekluję,heklujesz,hekluje,heklujemy,heklujecie,heklują
histeryzować,histeryzuję,histeryzujesz,histeryzuje,histeryzujemy,histeryzujecie,histeryzują
historyzować,historyzuję,historyzujesz,historyzuje,historyzujemy,historyzujecie,historyzują
hodować,hoduję,hodujesz,hoduje,hodujemy,hodujecie,hodują
hodować się,hoduję się,hodujesz się,hoduje się,hodujemy się,hodujecie się,hodują się
holować,holuję,holujesz,holuje,holujemy,holujecie,holują
hospitować,hospituję,hospitujesz,hospituje,hospitujemy,hospitujecie,hospitują
hulać,hulam,hulasz,hula,hulamy,hulacie,hulają
huśtać,huśtam,huśtasz,huśta,huśtamy,huśtacie,huśtają
identyfikować,identyfikuję,identyfikujesz,identyfikuje,identyfikujemy,identyfikujecie,identyfikują
ignorować,ignoruję,ignorujesz,ignoruje,ignorujemy,ignorujecie,ignorują
ilustrować,ilustruję,ilustrujesz,ilustruje,ilustrujemy,ilustrujecie,ilustrują
imać,imam,imasz,ima,imamy,imacie,imają
imitować,imituję,imitujesz,imituje,imitujemy,imitujecie,imitują
imponować,imponuję,imponujesz,imponuje,imponujemy,imponujecie,imponują
improwizować,improwizuję,improwizujesz,improwizuje,improwizujemy,improwizujecie,improwizują
imputować,imputuję,imputujesz,imputuje,imputujemy,imputujecie,imputują
indagować,indaguję,indagujesz,indaguje,indagujemy,indagujecie,indagują
indoktrynować,indoktrynuję,indoktrynujesz,indoktrynuje,indoktrynujemy,indoktrynujecie,indoktrynują
indywidualizować,indywidualizuję,indywidualizujesz,indywidualizuje,indywidualizujemy,indywidualizujecie,indywidualizują
informować,informuję,informujesz,informuje,informujemy,informujecie,informują
informować się,informuję się,informujesz się,informuje się,informujemy się,informujecie się,informują się
inicjalizować,inicjalizuję,inicjalizujesz,inicjalizuje,inicjalizujemy,inicjalizujecie,inicjalizują
inicjować,inicjuję,inicjujesz,inicjuje,inicjujemy,inicjujecie,inicjują
inkasować,inkasuję,inkasujesz,inkasuje,inkasujemy,inkasujecie,inkasują
inkomodować,inkomoduję,inkomodujesz,inkomoduje,inkomodujemy,inkomodujecie,inkomodują
inkryminować,inkryminuję,inkryminujesz,inkryminuje,inkryminujemy,inkryminujecie,inkryminują
instalować,instaluję,instalujesz,instaluje,instalujemy,instalujecie,instalują
instruować,instruuję,instruujesz,instruuje,instruujemy,instruujecie,instruują
instruować się,instruuję się,instruujesz się,instruuje się,instruujemy się,instruujecie się,instruują się
interagować,interaguję,interagujesz,interaguje,interagujemy,interagujecie,interagują
interesować,interesuję,interesujesz,interesuje,interesujemy,interesujecie,interesują
interesować się,interesuję się,interesujesz się,interesuje się,interesujemy się,interesujecie się,interesują się
internalizować,internalizuję,internalizujesz,internalizuje,internalizujemy,internalizujecie,internalizują
internować,internuję,internujesz,internuje,internujemy,internujecie,internują
interpretować,interpretuję,interpretujesz,interpretuje,interpretujemy,interpretujecie,interpretują
interweniować,interweniuję,interweniujesz,interweniuje,interweniujemy,interweniujecie,interweniują
intonować,intonuję,intonujesz,intonuje,intonujemy,intonujecie,intonują
inwentaryzować,inwentaryzuję,inwentaryzujesz,inwentaryzuje,inwentaryzujemy,inwentaryzujecie,inwentaryzują
inwestować,inwestuję,inwestujesz,inwestuje,inwestujemy,inwestujecie,inwestują
ironizować,ironizuję,ironizujesz,ironizuje,ironizujemy,ironizujecie,ironizują
irytować,irytuję,irytujesz,irytuje,irytujemy,irytujecie,irytują
irytować się,irytuję się,irytujesz się,irytuje się,irytujemy się,irytujecie się,irytują się
iść,idę,idziesz,idzie,idziemy,idziecie,idą
iskać,iskam,iskasz,iska,iskamy,iskacie,iskają
islamizować,islamizuję,islamizujesz,islamizuje,islamizujemy,islamizujecie,islamizują
istnieć,istnieję,istniejesz,istnieje,istniejemy,istniejecie,istnieją
kadzić,kadzę,kadzisz,kadzi,kadzimy,kadzicie,kadzą
kalać,kalam,kalasz,kala,kalamy,kalacie,kalają
kaligrafować,kaligrafuję,kaligrafujesz,kaligrafuje,kaligrafujemy,kaligrafujecie,kaligrafują
kalikować,kalikuję,kalikujesz,kalikuje,kalikujemy,kalikujecie,kalikują
kamerować,kameruję,kamerujesz,kameruje,kamerujemy,kamerujecie,kamerują
kampić,kampię,kampisz,kampi,kampimy,kampicie,kampią
kamuflować,kamufluję,kamuflujesz,kamufluje,kamuflujemy,kamuflujecie,kamuflują
kandydować,kandyduję,kandydujesz,kandyduje,kandydujemy,kandydujecie,kandydują
kanonizować,kanonizuję,kanonizujesz,kanonizuje,kanonizujemy,kanonizujecie,kanonizują
kantować się,kantuję się,kantujesz się,kantuje się,kantujemy się,kantujecie się,kantują się
kąpać,kąpię,kąpiesz,kąpie,kąpiemy,kąpiecie,kąpią
kąpać się,kąpię się,kąpiesz się,kąpie się,kąpiemy się,kąpiecie się,kąpią się
kapować,kapuję,kapujesz,kapuje,kapujemy,kapujecie,kapują
kaprysić,kapryszę,kaprysisz,kaprysi,kaprysimy,kaprysicie,kapryszą
karać,karzę,karzesz,karze,karzemy,karzecie,karzą
karać się,karzę się,karzesz się,karze się,karzemy się,karzecie się,karzą się
karczować,karczuję,karczujesz,karczuje,karczujemy,karczujecie,karczują
karmić,karmię,karmisz,karmi,karmimy,karmicie,karmią
karmić się,karmię się,karmisz się,karmi się,karmimy się,karmicie się,karmią się
karnawałować,karnawałuję,karnawałujesz,karnawałuje,karnawałujemy,karnawałujecie,karnawałują
kartkować,kartkuję,kartkujesz,kartkuje,kartkujemy,kartkujecie,kartkują
karykaturować,karykaturuję,karykaturujesz,karykaturuje,karykaturujemy,karykaturujecie,karykaturują
kąsać,kąsam,kąsasz,kąsa,kąsamy,kąsacie,kąsają
kasować,kasuję,kasujesz,kasuje,kasujemy,kasujecie,kasują
kastrować,kastruję,kastrujesz,kastruje,kastrujemy,kastrujecie,kastrują
kaszlnąć,kaszlnę,kaszlniesz,kaszlnie,kaszlniemy,kaszlniecie,kaszlną
katalogować,kataloguję,katalogujesz,kataloguje,katalogujemy,katalogujecie,katalogują
katechizować,katechizuję,katechizujesz,katechizuje,katechizujemy,katechizujecie,katechizują
kawałkować,kawałkuję,kawałkujesz,kawałkuje,kawałkujemy,kawałkujecie,kawałkują
kazać,każę,każesz,każe,każemy,każecie,każą
kętnarować,kętnaruję,kętnarujesz,kętnaruje,kętnarujemy,kętnarujecie,kętnarują
kibicować,kibicuję,kibicujesz,kibicuje,kibicujemy,kibicujecie,kibicują
kiblować,kibluję,kiblujesz,kibluje,kiblujemy,kiblujecie,kiblują
kicać,kicam,kicasz,kica,kicamy,kicacie,kicają
kichać,kicham,kichasz,kicha,kichamy,kichacie,kichają
kiciorować,kicioruję,kiciorujesz,kicioruje,kiciorujemy,kiciorujecie,kiciorują
kielczyć się,kielczę się,kielczysz się,kielczy się,kielczymy się,kielczycie się,kielczą się
kiereszować,kiereszuję,kiereszujesz,kiereszuje,kiereszujemy,kiereszujecie,kiereszują
kierować,kieruję,kierujesz,kieruje,kierujemy,kierujecie,kierują
kierować się,kieruję się,kierujesz się,kieruje się,kierujemy się,kierujecie się,kierują się
kiełkować,kiełkuję,kiełkujesz,kiełkuje,kiełkujemy,kiełkujecie,kiełkują
kiełznać,kiełznam,kiełznasz,kiełzna,kiełznamy,kiełznacie,kiełznają
kimać,kimam,kimasz,kima,kimamy,kimacie,kimają
kipieć,kipię,kipisz,kipi,kipimy,kipicie,kipią
kipnąć,kipnę,kipniesz,kipnie,kipniemy,kipniecie,kipną
kisić,kiszę,kisisz,kisi,kisimy,kisicie,kiszą
kitrać,kitram,kitrasz,kitra,kitramy,kitracie,kitrają
kiwać,kiwam,kiwasz,kiwa,kiwamy,kiwacie,kiwają
kiwać się,kiwam się,kiwasz się,kiwa się,kiwamy się,kiwacie się,kiwają się
kiwnąć,kiwnę,kiwniesz,kiwnie,kiwniemy,kiwniecie,kiwną
kiwnąć się,kiwnę się,kiwniesz się,kiwnie się,kiwniemy się,kiwniecie się,kiwną się
kląć,klnę,klniesz,klnie,klniemy,klniecie,klną
klajdać,klajdam,klajdasz,klajda,klajdamy,klajdacie,klajdają
klaskać,klaszczę,klaszczesz,klaszcze,klaszczemy,klaszczecie,klaszczą
klasnąć,klasnę,klaśniesz,klaśnie,klaśniemy,klaśniecie,klasną
klasyfikować,klasyfikuję,klasyfikujesz,klasyfikuje,klasyfikujemy,klasyfikujecie,klasyfikują
klatkować,klatkuję,klatkujesz,klatkuje,klatkujemy,klatkujecie,klatkują
klecić,klecę,klecisz,kleci,klecimy,klecicie,klecą
kleić,kleję,kleisz,klei,kleimy,kleicie,kleją
klękać,klękam,klękasz,klęka,klękamy,klękacie,klękają
klęknąć,klęknę,klękniesz,klęknie,klękniemy,klękniecie,klękną
klikać,klikam,klikasz,klika,klikamy,klikacie,klikają
kliknąć,kliknę,klikniesz,kliknie,klikniemy,klikniecie,klikną
klopnąć,klopnę,klopniesz,klopnie,klopniemy,klopniecie,klopną
kludzić,kludzę,kludzisz,kludzi,kludzimy,kludzicie,kludzą
kminić,kminię,kminisz,kmini,kminimy,kminicie,kminią
knocić,knocę,knocisz,knoci,knocimy,knocicie,knocą
knować,knuję,knujesz,knuje,knujemy,knujecie,knują
kochać,kocham,kochasz,kocha,kochamy,kochacie,kochają
kochać się,kocham się,kochasz się,kocha się,kochamy się,kochacie się,kochają się
kodować,koduję,kodujesz,koduje,kodujemy,kodujecie,kodują
kodzić,kodzę,kodzisz,kodzi,kodzimy,kodzicie,kodzą
koić,koję,koisz,koi,koimy,koicie,koją
kojarzyć,kojarzę,kojarzysz,kojarzy,kojarzymy,kojarzycie,kojarzą
kojarzyć się,kojarzę się,kojarzysz się,kojarzy się,kojarzymy się,kojarzycie się,kojarzą się
kojfnąć,kojfnę,kojfniesz,kojfnie,kojfniemy,kojfniecie,kojfną
kokietować,kokietuję,kokietujesz,kokietuje,kokietujemy,kokietujecie,kokietują
kolaborować,kolaboruję,kolaborujesz,kolaboruje,kolaborujemy,kolaborujecie,kolaborują
kolędować,kolęduję,kolędujesz,kolęduje,kolędujemy,kolędujecie,kolędują
kolekcjonować,kolekcjonuję,kolekcjonujesz,kolekcjonuje,kolekcjonujemy,kolekcjonujecie,kolekcjonują
kolidować,koliduję,kolidujesz,koliduje,kolidujemy,kolidujecie,kolidują
koligacić,koligacę,koligacisz,koligaci,koligacimy,koligacicie,koligacą
kolonizować,kolonizuję,kolonizujesz,kolonizuje,kolonizujemy,kolonizujecie,kolonizują
kolorować,koloruję,kolorujesz,koloruje,kolorujemy,kolorujecie,kolorują
koloryzować,koloryzuję,koloryzujesz,koloryzuje,koloryzujemy,koloryzujecie,koloryzują
komasować,komasuję,komasujesz,komasuje,komasujemy,komasujecie,komasują
kombajnować,kombajnuję,kombajnujesz,kombajnuje,kombajnujemy,kombajnujecie,kombajnują
komentować,komentuję,komentujesz,komentuje,komentujemy,komentujecie,komentują
kompensować,kompensuję,kompensujesz,kompensuje,kompensujemy,kompensujecie,kompensują
kompletować,kompletuję,kompletujesz,kompletuje,kompletujemy,kompletujecie,kompletują
komponować,komponuję,komponujesz,komponuje,komponujemy,komponujecie,komponują
kompromitować,kompromituję,kompromitujesz,kompromituje,kompromitujemy,kompromitujecie,kompromitują
konać,konam,konasz,kona,konamy,konacie,konają
koncelebrować,koncelebruję,koncelebrujesz,koncelebruje,koncelebrujemy,koncelebrujecie,koncelebrują
koncentrować,koncentruję,koncentrujesz,koncentruje,koncentrujemy,koncentrujecie,koncentrują
kończyć,kończę,kończysz,kończy,kończymy,kończycie,kończą
kończyć się,kończę się,kończysz się,kończy się,kończymy się,kończycie się,kończą się
konfigurować,konfiguruję,konfigurujesz,konfiguruje,konfigurujemy,konfigurujecie,konfigurują
konfiskować,konfiskuję,konfiskujesz,konfiskuje,konfiskujemy,konfiskujecie,konfiskują
konfundować,konfunduję,konfundujesz,konfunduje,konfundujemy,konfundujecie,konfundują
konkludować,konkluduję,konkludujesz,konkluduje,konkludujemy,konkludujecie,konkludują
konserwować,konserwuję,konserwujesz,konserwuje,konserwujemy,konserwujecie,konserwują
konstatować,konstatuję,konstatujesz,konstatuje,konstatujemy,konstatujecie,konstatują
